
# Development Desktop 2.0 Beta
# Data Export for Sensor : BHI160
# Start: 2022-11-16 오후 4:25:17
SensorTime(WakeUp),SensorTime(NonWakeUp),Accel(NonWakeUp) - X axis - M/s2,Accel(NonWakeUp) - Y axis - M/s2,Accel(NonWakeUp) - Z axis - M/s2,Mag(NonWakeUp) - X axis - uT,Mag(NonWakeUp) - Y axis - uT,Mag(NonWakeUp) - Z axis - uT,Gyro(NonWakeUp) - X axis - deg/sec,Gyro(NonWakeUp) - Y axis - deg/sec,Gyro(NonWakeUp) - Z axis - deg/sec,MetaEvents (NonWakeUp) - Name,MetaEvents (NonWakeUp) - Byte 1,MetaEvents (NonWakeUp) - Byte 2,MetaEvents (WakeUp) - Name,MetaEvents (WakeUp) - Byte 1,MetaEvents (WakeUp) - Byte 2,
*,490.31834375,2.0172,-3.0419,9.7148,-6.6154,-9.3846,-16.0769,-128.2500,-50.4375,31.6875,*,*,*,*,*,*,
*,490.33825000,3.3532,-3.5339,9.1210,*,*,*,-56.2500,-22.6250,0.1875,*,*,*,*,*,*,
*,490.35818750,2.4601,-1.5718,9.4538,-6.9231,-7.8462,-16.0769,-31.3750,-8.4375,-10.6250,*,*,*,*,*,*,
*,490.37812500,3.1042,-1.8663,9.2730,*,*,*,-38.1875,8.1875,-26.5625,*,*,*,*,*,*,
*,490.39803125,2.8755,-2.0459,10.1362,-7.8462,-6.9231,-17.0000,-35.3750,13.9375,-26.8125,*,*,*,*,*,*,
*,490.41796875,4.6652,-3.6525,10.7024,*,*,*,6.7500,34.1875,-28.5625,*,*,*,*,*,*,
*,490.43787500,1.7682,-2.7642,8.2842,-7.8462,-7.2308,-17.9231,59.6875,47.3750,-20.3125,*,*,*,*,*,*,
*,490.45781250,2.0639,-1.9968,9.4119,*,*,*,20.0625,12.2500,3.6250,*,*,*,*,*,*,
*,490.47775000,1.8280,-2.2602,9.6226,-6.9231,-7.5385,-17.9231,17.2500,11.1875,-2.8125,*,*,*,*,*,*,
*,490.49765625,1.5036,-1.6796,8.8157,*,*,*,31.5625,11.5625,-6.1875,*,*,*,*,*,*,
*,490.51759375,3.6752,-2.9893,9.5532,-6.3077,-7.2308,-16.6923,23.8125,13.0000,-30.5625,*,*,*,*,*,*,
*,490.53750000,1.9023,-2.1034,10.0057,*,*,*,25.2500,36.1875,-44.3125,*,*,*,*,*,*,
*,490.55743750,2.6409,-2.0124,10.4175,-6.3077,-7.8462,-15.7692,24.0000,29.0625,-31.3750,*,*,*,*,*,*,
*,490.57734375,1.8999,-1.8137,10.5456,*,*,*,21.5625,30.3125,-10.6250,*,*,*,*,*,*,
*,490.59728125,2.4481,-1.8771,9.9674,-4.7692,-8.1538,-16.6923,35.3125,40.2500,-10.3750,*,*,*,*,*,*,
*,490.61718750,2.3691,-1.7933,9.3413,*,*,*,47.5000,47.5625,-13.9375,*,*,*,*,*,*,
*,490.63712500,2.0268,-1.6760,10.0440,-5.3846,-8.1538,-16.6923,51.6875,49.0000,-18.8125,*,*,*,*,*,*,
*,490.65703125,1.5611,-0.8057,10.0476,*,*,*,39.0000,45.8125,-22.8750,*,*,*,*,*,*,
*,490.67696875,1.0762,0.0515,11.7942,-4.4615,-9.0769,-16.6923,10.2500,46.7500,-25.7500,*,*,*,*,*,*,
*,490.69687500,1.0056,0.8619,11.6505,*,*,*,-29.3125,12.1875,-6.9375,*,*,*,*,*,*,
*,490.71681250,1.4018,-1.3444,9.9267,-3.5385,-9.6923,-16.3846,-65.9375,-40.1875,22.0625,*,*,*,*,*,*,
*,490.73671875,1.5742,-2.5703,8.1561,*,*,*,-52.9375,-34.0000,21.4375,*,*,*,*,*,*,
*,490.75665625,1.3707,-2.2530,8.7882,-3.5385,-10.0000,-16.6923,-27.2500,-13.3125,22.3125,*,*,*,*,*,*,
*,490.77656250,1.2510,-1.7562,9.4239,*,*,*,-10.6875,-10.1250,24.3750,*,*,*,*,*,*,
*,490.79650000,1.1864,-2.2422,8.6314,-4.4615,-9.0769,-16.0769,-9.8125,24.0000,1.9375,*,*,*,*,*,*,
*,490.81640625,0.7434,-1.7562,9.8536,*,*,*,4.6875,28.3125,-4.8750,*,*,*,*,*,*,
*,490.83634375,1.8053,-1.9525,9.5089,-4.1538,-8.1538,-16.3846,9.0625,-6.2500,11.6250,*,*,*,*,*,*,
*,490.85625000,1.2630,-1.0858,9.4562,*,*,*,10.0000,-20.0625,18.5000,*,*,*,*,*,*,
*,490.87618750,1.9477,-1.1002,9.7926,-3.5385,-9.0769,-16.6923,-4.8750,-18.8125,11.8750,*,*,*,*,*,*,
*,490.89609375,2.0244,-1.6425,9.2790,*,*,*,6.1875,-15.0000,5.8750,*,*,*,*,*,*,
*,490.91603125,1.3887,-1.6688,9.2970,-4.4615,-8.7692,-16.6923,10.4375,-3.7500,3.3125,*,*,*,*,*,*,
*,490.93593750,1.5515,-1.3480,9.5963,*,*,*,9.5625,21.1250,-0.4375,*,*,*,*,*,*,
*,490.95584375,1.8017,-1.5742,8.7032,-4.1538,-8.1538,-16.6923,29.4375,33.5625,0.6250,*,*,*,*,*,*,
*,490.97578125,2.1417,-1.5958,7.9442,*,*,*,58.0625,14.3125,14.8125,*,*,*,*,*,*,
*,490.99568750,2.1357,-0.7853,9.7483,-4.1538,-7.8462,-16.3846,82.2500,7.0000,34.8750,*,*,*,*,*,*,
*,491.01562500,0.9457,0.6345,13.0249,*,*,*,81.5625,23.0000,43.4375,*,*,*,*,*,*,
*,491.03553125,-1.5706,-1.8855,15.0480,-4.1538,-8.7692,-16.0769,3.4375,-53.2500,58.0625,*,*,*,*,*,*,
*,491.05543750,2.6457,-0.4094,8.2902,*,*,*,-35.3125,-76.4375,24.2500,*,*,*,*,*,*,
*,491.07537500,3.0048,-1.0056,8.6002,-3.5385,-8.7692,-16.3846,-14.4375,-2.0625,42.3125,*,*,*,*,*,*,
*,491.09528125,1.7287,-0.8033,10.6952,*,*,*,-12.1250,40.7500,51.8125,*,*,*,*,*,*,
*,491.11521875,0.8081,-1.1253,10.3552,-5.3846,-9.3846,-15.7692,-23.1250,33.1875,39.6875,*,*,*,*,*,*,
*,491.13512500,2.6864,-0.9409,8.8241,*,*,*,-17.8750,11.1250,28.8750,*,*,*,*,*,*,
*,491.15503125,3.7159,-1.1085,8.5116,-4.7692,-8.7692,-16.6923,3.9375,6.9375,39.6875,*,*,*,*,*,*,
*,491.17496875,2.4865,-1.1397,9.1210,*,*,*,21.1875,20.7500,54.0625,*,*,*,*,*,*,
*,491.19487500,0.9960,-1.4557,10.0440,-5.3846,-8.1538,-16.3846,21.7500,30.0625,46.5625,*,*,*,*,*,*,
*,491.21478125,0.5447,-0.6105,10.5216,*,*,*,24.1875,55.4375,13.3750,*,*,*,*,*,*,
*,491.23471875,1.7789,0.1820,9.9662,-4.4615,-8.1538,-15.7692,7.9375,90.2500,10.4375,*,*,*,*,*,*,
*,491.25462500,1.3683,-1.0894,9.1401,*,*,*,-10.0625,104.8750,28.4375,*,*,*,*,*,*,
*,491.27456250,1.0798,-0.7087,9.3197,-4.4615,-8.1538,-15.7692,7.6875,59.6875,29.6250,*,*,*,*,*,*,
*,491.29446875,0.5196,-0.1353,9.3760,*,*,*,17.1250,13.0000,27.6875,*,*,*,*,*,*,
*,491.31437500,0.4645,-0.7602,7.9011,-4.1538,-7.5385,-16.0769,8.8750,9.6875,21.5000,*,*,*,*,*,*,
*,491.33431250,0.0575,-0.8919,8.2986,*,*,*,34.2500,40.8125,28.8125,*,*,*,*,*,*,
*,491.35421875,-0.5447,-0.8727,10.3732,-3.5385,-8.7692,-16.0769,51.1250,51.6875,34.5625,*,*,*,*,*,*,
*,491.37415625,-1.3576,-1.0906,11.4279,*,*,*,36.3750,27.6250,42.7500,*,*,*,*,*,*,
*,491.39406250,0.4382,0.4441,10.8078,-3.2308,-9.0769,-16.6923,6.5000,-6.0625,43.5000,*,*,*,*,*,*,
*,491.41400000,0.0431,-0.3065,9.0121,*,*,*,0.6250,-29.1875,48.1250,*,*,*,*,*,*,
*,491.43390625,0.8308,-0.1508,9.1150,-4.1538,-8.7692,-16.0769,17.2500,-36.5000,48.3750,*,*,*,*,*,*,
*,491.45384375,0.6321,-0.3567,10.8736,*,*,*,17.0625,-26.6875,54.3750,*,*,*,*,*,*,
*,491.47378125,0.3544,-0.3675,10.9921,-4.4615,-9.3846,-16.3846,-3.3750,-18.4375,48.2500,*,*,*,*,*,*,
*,491.49368750,1.4701,-0.2466,10.2487,*,*,*,-17.3125,-0.6875,41.2500,*,*,*,*,*,*,
*,491.51362500,1.9992,0.0419,9.5963,-4.4615,-9.3846,-16.3846,-16.6250,29.2500,41.9375,*,*,*,*,*,*,
*,491.53353125,1.3324,0.3328,9.9937,*,*,*,-3.8125,17.9375,45.3750,*,*,*,*,*,*,
*,491.55346875,2.3045,0.1077,9.7674,-5.0769,-8.1538,-15.7692,-6.3750,3.0000,54.1250,*,*,*,*,*,*,
*,491.57337500,0.9805,0.1472,9.8105,*,*,*,-5.0625,9.5625,67.1250,*,*,*,*,*,*,
*,491.59328125,-0.3735,0.4968,10.1014,-4.7692,-8.7692,-16.3846,-7.5000,9.1250,58.3750,*,*,*,*,*,*,
*,491.61321875,0.4489,0.7626,9.1581,*,*,*,-8.6875,24.0625,45.3750,*,*,*,*,*,*,
*,491.63312500,0.3903,0.8943,9.9626,-4.7692,-7.5385,-14.8462,-4.8750,40.5000,49.3750,*,*,*,*,*,*,
*,491.65306250,-0.4346,1.1493,10.6234,*,*,*,-14.8750,20.0625,60.5000,*,*,*,*,*,*,
*,491.67296875,-0.3424,1.2414,8.8840,-4.7692,-7.2308,-15.7692,-26.0000,11.7500,77.4375,*,*,*,*,*,*,
*,491.69287500,-4.1984,1.8340,8.5033,*,*,*,-22.0000,27.2500,90.8750,*,*,*,*,*,*,
*,491.71281250,-5.4206,2.4254,7.4869,-5.0769,-7.5385,-16.6923,-6.9375,20.7500,71.3750,*,*,*,*,*,*,
*,491.73271875,-7.2666,3.2071,8.6062,*,*,*,12.5625,24.5000,77.1250,*,*,*,*,*,*,
*,491.75262500,-13.4822,4.1840,10.5109,-5.3846,-6.3077,-15.7692,8.1250,7.1250,78.3750,*,*,*,*,*,*,
*,491.77256250,-15.1079,5.1214,8.5488,*,*,*,-2.3750,-21.1875,46.9375,*,*,*,*,*,*,
*,491.79246875,-20.5477,6.7914,7.6006,-6.0000,-6.0000,-16.3846,26.2500,-20.9375,15.1250,*,*,*,*,*,*,
*,491.81237500,-27.4288,8.6110,10.8509,*,*,*,59.8125,7.5625,-61.3750,*,*,*,*,*,*,
*,491.83231250,-31.6176,10.4247,15.1366,-6.0000,-6.3077,-16.0769,55.8750,39.1250,-178.6875,*,*,*,*,*,*,
*,491.85221875,-30.2409,11.6242,15.5173,*,*,*,16.0000,29.9375,-295.8125,*,*,*,*,*,*,
*,491.87215625,-25.8306,12.6334,13.3960,-6.0000,-7.2308,-16.0769,-9.6250,18.2500,-409.6875,*,*,*,*,*,*,
*,491.89206250,-16.5241,14.1274,9.9925,*,*,*,-36.6250,-5.3125,-487.8750,*,*,*,*,*,*,
*,491.91200000,-8.3871,16.3685,5.4889,-4.7692,-8.1538,-16.0769,-59.2500,-78.7500,-524.5625,*,*,*,*,*,*,
*,491.93190625,0.6812,20.0568,0.5818,*,*,*,-60.9375,-162.3125,-551.7500,*,*,*,*,*,*,
*,491.95181250,13.9119,24.1522,-5.1154,-1.0769,-9.0769,-16.6923,-26.8750,-141.7500,-546.8125,*,*,*,*,*,*,
*,491.97175000,27.4396,28.3734,-6.6369,*,*,*,65.3750,-40.2500,-513.3125,*,*,*,*,*,*,
*,491.99165625,39.2254,27.6658,0.8560,1.6923,-8.7692,-16.6923,158.2500,-155.0625,-430.3125,*,*,*,*,*,*,
*,492.01159375,39.1632,18.0373,7.6413,*,*,*,154.8750,-245.5000,-206.6250,*,*,*,*,*,*,
*,492.03150000,39.2254,11.6996,10.6366,4.1538,-8.1538,-17.0000,44.1250,14.3125,56.8125,*,*,*,*,*,*,
*,492.05140625,39.0829,13.7503,3.8332,*,*,*,-36.6250,99.3750,245.6875,*,*,*,*,*,*,
*,492.07134375,27.5497,12.5664,-3.0491,2.8462,-8.2308,-17.0000,-4.7500,10.9375,336.8750,*,*,*,*,*,*,
*,492.09125000,11.3441,12.0528,2.8348,*,*,*,42.0625,15.3125,400.3125,*,*,*,*,*,*,
*,492.11118750,-1.4665,12.3018,1.6868,1.6154,-9.7692,-17.0000,82.4375,83.3750,372.7500,*,*,*,*,*,*,
*,492.13109375,-7.9789,13.5576,12.8369,*,*,*,82.2500,245.0000,327.8750,*,*,*,*,*,*,
*,492.15100000,-25.1698,12.1940,20.8230,-0.8462,-10.6923,-16.6923,26.3125,89.0000,324.6875,*,*,*,*,*,*,
*,492.17093750,-23.5082,6.3544,12.8752,*,*,*,-1.1875,-127.2500,236.2500,*,*,*,*,*,*,
*,492.19084375,-18.5568,2.7283,10.7407,-0.8462,-11.9231,-16.0769,27.6875,-66.8750,155.1875,*,*,*,*,*,*,
*,492.21075000,-12.7328,2.3799,10.8940,*,*,*,35.6875,38.3125,84.8750,*,*,*,*,*,*,
*,492.23068750,-9.4729,2.7319,11.4566,-3.6154,-11.3077,-15.1538,49.3750,43.9375,64.9375,*,*,*,*,*,*,
*,492.25059375,-8.9773,2.7594,13.3325,*,*,*,46.7500,13.7500,72.3750,*,*,*,*,*,*,
*,492.27050000,-9.7231,2.1884,14.2818,-5.1538,-10.0769,-16.0769,17.6875,-17.0625,61.0625,*,*,*,*,*,*,
*,492.29043750,-8.5535,1.2833,11.8074,*,*,*,-17.7500,-24.8125,16.1875,*,*,*,*,*,*,
*,492.31034375,-4.4833,1.4246,9.7830,-5.1538,-11.0000,-15.1538,-35.7500,10.8125,-26.5000,*,*,*,*,*,*,
*,492.33028125,-1.9286,0.7662,10.0428,*,*,*,-33.5625,23.1250,-40.3125,*,*,*,*,*,*,
*,492.35018750,-0.5746,-0.1652,9.5759,-5.1538,-10.0769,-14.5385,-31.6875,11.0000,-40.5000,*,*,*,*,*,*,
*,492.37012500,0.8727,-0.7171,8.6110,*,*,*,-23.1875,10.7500,-38.3750,*,*,*,*,*,*,
*,492.39003125,1.4150,-1.0331,9.4478,-5.4615,-10.6923,-15.1538,-10.5625,35.6250,-25.7500,*,*,*,*,*,*,
*,492.40996875,-0.0790,-0.1556,10.2942,*,*,*,-18.5000,27.6875,-13.9375,*,*,*,*,*,*,
*,492.42987500,-0.5387,0.0144,9.2599,-4.5385,-9.7692,-16.0769,-19.8750,-2.2500,-12.5625,*,*,*,*,*,*,
*,492.44981250,-0.7614,-0.5878,8.8636,*,*,*,-16.5000,5.1875,-14.3750,*,*,*,*,*,*,
*,492.46971875,-0.7542,-0.8164,9.0827,-4.8462,-9.1538,-15.1538,-13.0000,16.3125,-18.1250,*,*,*,*,*,*,
*,492.48965625,-0.6548,-0.2562,9.6322,*,*,*,-16.0000,6.2500,-23.6250,*,*,*,*,*,*,
*,492.50956250,-0.7530,-0.7638,10.0967,-4.5385,-9.7692,-15.7692,-29.5000,-15.2500,-26.2500,*,*,*,*,*,*,
*,492.52946875,0.1221,-0.9457,9.1377,*,*,*,-33.5625,-20.3125,-37.0000,*,*,*,*,*,*,
*,492.54940625,1.7406,-1.1289,8.6924,-4.5385,-10.0769,-16.0769,-16.6875,-0.6250,-42.5000,*,*,*,*,*,*,
*,492.56931250,2.7582,-0.8943,9.0563,*,*,*,3.5000,6.6250,-28.0000,*,*,*,*,*,*,
*,492.58925000,2.0483,-0.8751,9.5137,-3.3077,-9.7692,-16.0769,-1.8125,-3.3750,-12.3750,*,*,*,*,*,*,
*,492.60915625,0.7183,-0.6285,8.8397,*,*,*,-0.7500,-19.5625,-5.7500,*,*,*,*,*,*,
*,492.62909375,0.4142,-0.5938,9.1270,-3.6154,-9.4615,-15.7692,7.9375,-18.7500,-10.7500,*,*,*,*,*,*,
*,492.64900000,0.5555,-0.6141,9.7639,*,*,*,10.9375,-14.6250,-19.3125,*,*,*,*,*,*,
*,492.66893750,1.2510,-0.3232,10.0691,-3.3077,-9.7692,-16.0769,13.6875,-12.1250,-21.0625,*,*,*,*,*,*,
*,492.68884375,1.8867,-0.4046,10.4797,*,*,*,13.8125,-27.2500,-18.5000,*,*,*,*,*,*,
*,492.70878125,1.1205,-0.4657,10.6593,-4.2308,-10.0769,-15.7692,5.8750,-41.5625,-10.5000,*,*,*,*,*,*,
*,492.72868750,1.2809,-0.4358,9.6070,*,*,*,-2.2500,-29.2500,-17.4375,*,*,*,*,*,*,
*,492.74862500,1.7610,-0.0766,9.2742,-3.6154,-10.6923,-16.0769,9.3125,-4.3125,-21.4375,*,*,*,*,*,*,
*,492.76853125,2.2578,-0.0730,9.7722,*,*,*,21.3125,-2.0000,-17.0000,*,*,*,*,*,*,
*,492.78846875,1.9693,-0.1939,10.4486,-4.5385,-9.1538,-16.0769,19.9375,-6.2500,-8.6250,*,*,*,*,*,*,
*,492.80837500,1.5072,-0.2789,10.2954,*,*,*,13.3125,-7.8125,-5.9375,*,*,*,*,*,*,
*,492.82831250,1.4928,-0.0527,10.0153,-3.3077,-10.0769,-15.1538,8.8750,-2.5000,-8.8750,*,*,*,*,*,*,
*,492.84821875,1.2606,-0.1353,10.3780,*,*,*,5.6250,4.6250,-10.1875,*,*,*,*,*,*,
*,492.86815625,1.7993,-0.0742,9.8058,-3.6154,-9.7692,-15.1538,2.2500,2.8125,-12.8750,*,*,*,*,*,*,
*,492.88806250,1.9932,0.0263,9.7746,*,*,*,4.5000,4.5000,-12.1875,*,*,*,*,*,*,
*,492.90800000,1.8412,0.0443,9.8728,-3.6154,-11.0000,-15.1538,3.5625,6.7500,-9.0625,*,*,*,*,*,*,
*,492.92790625,1.6078,0.0802,9.8572,*,*,*,-2.3125,9.5000,-6.8125,*,*,*,*,*,*,
*,492.94781250,0.9984,-0.1856,9.5484,-3.3077,-11.0000,-15.7692,-0.9375,6.0000,-5.5625,*,*,*,*,*,*,
*,492.96775000,0.9242,0.1425,9.6405,*,*,*,12.5625,1.1875,-8.1875,*,*,*,*,*,*,
*,492.98765625,1.4988,0.1963,9.7064,-3.0000,-9.7692,-14.8462,17.0625,10.7500,-11.3750,*,*,*,*,*,*,
*,493.00759375,1.8532,0.2394,9.9303,*,*,*,16.3125,15.7500,-7.7500,*,*,*,*,*,*,
*,493.02750000,1.2570,0.1796,10.2702,-4.2308,-10.6923,-14.8462,15.0625,7.7500,-0.8125,*,*,*,*,*,*,
*,493.04743750,0.4154,0.2035,10.5588,*,*,*,10.6250,-4.3750,-4.0625,*,*,*,*,*,*,
*,493.06734375,1.2067,0.2933,9.8225,-3.3077,-11.0000,-14.8462,2.1250,9.6250,-10.4375,*,*,*,*,*,*,
*,493.08725000,1.7227,0.4765,8.6122,*,*,*,7.6875,26.2500,-8.5000,*,*,*,*,*,*,
*,493.10718750,1.0942,0.4274,9.3939,-3.0000,-11.0000,-14.8462,21.1250,27.7500,-7.6250,*,*,*,*,*,*,
*,493.12709375,1.0020,-0.0287,9.8405,*,*,*,35.5625,9.0625,-2.0625,*,*,*,*,*,*,
*,493.14703125,0.4226,0.2993,11.2818,-3.0000,-11.6154,-15.7692,27.1875,18.4375,-3.1250,*,*,*,*,*,*,
*,493.16693750,0.7650,0.5722,10.7060,*,*,*,8.2500,18.3125,-5.4375,*,*,*,*,*,*,
*,493.18687500,1.3707,0.7279,9.5412,-1.4615,-10.6923,-14.5385,6.0625,3.7500,-1.8125,*,*,*,*,*,*,
*,493.20678125,1.3911,0.5447,8.6170,*,*,*,20.6875,-7.1875,4.1250,*,*,*,*,*,*,
*,493.22671875,0.6261,0.4789,9.1808,-2.6923,-11.6154,-14.8462,36.3125,-7.4375,6.6250,*,*,*,*,*,*,
*,493.24662500,0.4633,0.7470,9.6214,*,*,*,35.6875,6.5625,2.1875,*,*,*,*,*,*,
*,493.26656250,0.4741,0.8512,9.7279,-3.0000,-12.8462,-14.2308,34.0625,16.5000,-2.0000,*,*,*,*,*,*,
*,493.28646875,0.9864,0.9182,9.9973,*,*,*,32.9375,9.7500,-2.2500,*,*,*,*,*,*,
*,493.30640625,0.9002,1.1205,10.4761,-1.4615,-12.5385,-14.5385,27.3750,2.5000,1.6250,*,*,*,*,*,*,
*,493.32631250,1.0080,1.3157,9.6633,*,*,*,23.0625,-7.3125,1.0625,*,*,*,*,*,*,
*,493.34625000,0.9972,1.3564,9.5520,-2.0769,-12.8462,-14.2308,27.5000,4.0000,5.8125,*,*,*,*,*,*,
*,493.36615625,0.1592,1.3923,10.8377,*,*,*,24.8750,19.8750,9.5625,*,*,*,*,*,*,
*,493.38609375,0.0036,1.4904,10.5408,-3.3077,-12.8462,-14.2308,10.1250,11.5625,2.3750,*,*,*,*,*,*,
*,493.40600000,0.7063,1.6305,9.4598,*,*,*,4.8750,3.9375,-1.7500,*,*,*,*,*,*,
*,493.42593750,0.8296,1.2510,9.1090,-3.0000,-13.4615,-13.6154,7.4375,5.5000,1.6250,*,*,*,*,*,*,
*,493.44587500,0.2646,1.3456,9.9111,*,*,*,13.4375,10.6250,3.7500,*,*,*,*,*,*,
*,493.46578125,0.3077,1.3121,9.7531,-2.0769,-12.8462,-13.6154,7.0625,9.7500,1.2500,*,*,*,*,*,*,
*,493.48571875,1.0403,1.5096,8.9019,*,*,*,11.2500,13.7500,0.7500,*,*,*,*,*,*,
*,493.50562500,0.6943,1.8208,8.7607,-1.7692,-13.1538,-13.6154,20.5000,10.0000,5.0625,*,*,*,*,*,*,
*,493.52556250,1.0224,1.6544,8.2734,*,*,*,37.0000,-8.8125,6.0625,*,*,*,*,*,*,
*,493.54550000,1.0547,1.4629,8.1753,-2.0769,-13.4615,-13.9231,51.8750,-10.9375,13.1250,*,*,*,*,*,*,
*,493.56540625,0.4513,1.7478,8.4219,*,*,*,61.5625,-8.6875,19.6250,*,*,*,*,*,*,
*,493.58534375,0.4968,2.0064,7.8772,-2.0769,-13.4615,-12.6923,70.8750,-2.5625,16.8125,*,*,*,*,*,*,
*,493.60528125,1.0774,2.2159,7.8173,*,*,*,98.3750,17.6250,13.3750,*,*,*,*,*,*,
*,493.62518750,1.6760,3.1042,8.8899,-2.0769,-15.0000,-12.6923,120.4375,23.0625,22.0000,*,*,*,*,*,*,
*,493.64512500,2.5331,4.0188,8.4530,*,*,*,150.6250,-3.4375,36.2500,*,*,*,*,*,*,
*,493.66503125,1.6245,5.4853,9.8919,-2.6923,-15.3077,-11.3846,200.6250,-25.5000,54.6875,*,*,*,*,*,*,
*,493.68496875,0.9589,7.8796,14.5368,*,*,*,224.8125,5.2500,65.1250,*,*,*,*,*,*,
*,493.70490625,1.7227,11.2459,21.9950,-3.3077,-16.2308,-10.1538,193.0625,55.9375,78.5625,*,*,*,*,*,*,
*,493.72481250,-2.1513,12.7890,32.0713,*,*,*,93.0625,86.9375,99.7500,*,*,*,*,*,*,
*,493.74475000,-11.1166,13.9083,37.0562,-4.5385,-17.4615,-7.6923,-72.3750,22.8125,26.4375,*,*,*,*,*,*,
*,493.76468750,-7.5108,16.7503,31.1770,*,*,*,-264.5000,38.5000,-120.6250,*,*,*,*,*,*,
*,493.78459375,0.0742,17.8098,24.7772,-4.5385,-16.8462,-6.7692,-383.6875,127.1250,-195.4375,*,*,*,*,*,*,
*,493.80453125,4.8771,16.4989,16.9227,*,*,*,-416.4375,38.6250,-189.3750,*,*,*,*,*,*,
*,493.82446875,6.7076,13.5300,14.7559,-1.7692,-16.5385,-10.4615,-463.3750,-53.6875,-120.6250,*,*,*,*,*,*,
*,493.84440625,3.0886,12.7986,16.6426,*,*,*,-535.0625,-44.5625,-42.2500,*,*,*,*,*,*,
*,493.86431250,-1.1373,14.6290,8.8983,-0.8462,-12.8462,-14.8462,-644.8125,3.2500,-22.4375,*,*,*,*,*,*,
*,493.88425000,2.6744,11.8062,-9.5017,*,*,*,-594.5000,88.0000,-50.8125,*,*,*,*,*,*,
*,493.90418750,1.9896,6.1569,-10.0572,-0.2308,-4.5385,-17.8462,-411.7500,136.5625,-45.6875,*,*,*,*,*,*,
*,493.92412500,1.2223,3.1293,-5.6577,*,*,*,-311.1875,14.6875,-34.9375,*,*,*,*,*,*,
*,493.94403125,1.1780,2.3236,-5.1106,1.9231,2.5385,-17.8462,-291.8750,-48.9375,-14.6250,*,*,*,*,*,*,
*,493.96396875,0.1568,3.1102,-8.9139,*,*,*,-307.8125,-24.6875,-0.6250,*,*,*,*,*,*,
*,493.98390625,-0.4801,3.3987,-18.4682,1.6154,6.0000,-17.0000,-242.5000,-3.1250,-13.5000,*,*,*,*,*,*,
*,494.00381250,-1.3504,1.4114,-26.7129,*,*,*,-96.3750,-34.0625,-23.7500,*,*,*,*,*,*,
*,494.02375000,-0.2813,-0.2514,-33.0877,0.6923,10.0000,-15.1538,44.6875,-108.7500,-39.6250,*,*,*,*,*,*,
*,494.04368750,1.8999,2.4817,-38.7298,*,*,*,210.8750,-98.0625,-40.7500,*,*,*,*,*,*,
*,494.06359375,1.4605,9.5843,-35.4413,0.6923,10.0000,-15.2308,441.0000,-74.3125,-46.8750,*,*,*,*,*,*,
*,494.08353125,2.2363,22.0405,-29.6782,*,*,*,695.7500,-106.9375,-72.1875,*,*,*,*,*,*,
*,494.10346875,9.6274,35.2485,-17.7751,-0.8462,6.9231,-16.7692,930.5000,-98.7500,-94.8750,*,*,*,*,*,*,
*,494.12340625,14.9858,39.2242,12.4179,*,*,*,955.7500,45.5000,9.5000,*,*,*,*,*,*,
*,494.14331250,1.6939,36.5175,36.1619,-2.0769,-3.2308,-19.3077,758.3750,131.9375,102.9375,*,*,*,*,*,*,
*,494.16325000,-2.8492,29.0689,37.9720,*,*,*,547.9375,15.9375,59.3750,*,*,*,*,*,*,
*,494.18315625,-3.5830,25.6499,36.9365,-3.0000,-12.8462,-14.0769,382.5625,45.8125,28.9375,*,*,*,*,*,*,
*,494.20309375,-2.6936,21.7472,39.2242,*,*,*,254.3125,55.8125,31.6250,*,*,*,*,*,*,
*,494.22300000,-3.5423,18.0804,39.2051,-3.3077,-17.1538,-7.8462,56.6250,-8.5625,41.5625,*,*,*,*,*,*,
*,494.24290625,-0.0239,14.7990,24.1810,*,*,*,-74.4375,-140.3125,9.5625,*,*,*,*,*,*,
*,494.26284375,4.2762,11.7008,14.3525,-3.6154,-18.6923,-5.3846,-63.8750,-120.0000,17.9375,*,*,*,*,*,*,
*,494.28275000,2.6050,9.5256,16.9383,*,*,*,-101.6250,-68.1875,32.7500,*,*,*,*,*,*,
*,494.30268750,0.5842,4.8867,10.2104,-4.2308,-18.3846,-5.6923,-219.8750,-3.1250,19.5000,*,*,*,*,*,*,
*,494.32259375,1.5635,5.7008,10.6186,*,*,*,2.6875,9.3125,-8.4375,*,*,*,*,*,*,
*,494.34250000,2.3260,4.9897,9.3868,-4.5385,-18.6923,-6.9231,-28.1875,-10.9375,-7.2500,*,*,*,*,*,*,
*,494.36243750,-0.1472,4.4294,10.1014,*,*,*,-47.2500,-14.3750,3.6250,*,*,*,*,*,*,
*,494.38234375,-1.0391,4.0391,12.4622,-4.5385,-17.4615,-7.6154,-62.4375,7.0000,-13.6875,*,*,*,*,*,*,
*,494.40228125,1.3755,3.8225,11.9546,*,*,*,-104.8750,18.2500,-33.9375,*,*,*,*,*,*,
*,494.42218750,2.5726,3.4777,7.6306,-5.1538,-17.4615,-8.5385,-118.0000,2.6250,-36.8750,*,*,*,*,*,*,
*,494.44209375,2.3009,2.9066,6.1449,*,*,*,-99.1250,-10.6250,-27.8750,*,*,*,*,*,*,
*,494.46203125,1.4952,2.3608,7.0894,-3.3077,-15.6154,-9.1538,-81.7500,15.3125,-24.7500,*,*,*,*,*,*,
